Lebendgeburten in Wien gemeldeter Personen  nach Geschlecht des Kindes und Alter der Mutter |Life birth of residents in Vienna  by sex of child and age of mother;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;LIVEBIRTH;REF_YEAR
AT1;AT13;AT130;.;.;2;14;4;2002
AT1;AT13;AT130;.;.;2;15;17;2002
AT1;AT13;AT130;.;.;2;16;37;2002
AT1;AT13;AT130;.;.;2;17;73;2002
AT1;AT13;AT130;.;.;2;18;120;2002
AT1;AT13;AT130;.;.;2;19;169;2002
AT1;AT13;AT130;.;.;2;20;254;2002
AT1;AT13;AT130;.;.;2;21;296;2002
AT1;AT13;AT130;.;.;2;22;310;2002
AT1;AT13;AT130;.;.;2;23;343;2002
AT1;AT13;AT130;.;.;2;24;343;2002
AT1;AT13;AT130;.;.;2;25;381;2002
AT1;AT13;AT130;.;.;2;26;420;2002
AT1;AT13;AT130;.;.;2;27;466;2002
AT1;AT13;AT130;.;.;2;28;533;2002
AT1;AT13;AT130;.;.;2;29;512;2002
AT1;AT13;AT130;.;.;2;30;514;2002
AT1;AT13;AT130;.;.;2;31;502;2002
AT1;AT13;AT130;.;.;2;32;502;2002
AT1;AT13;AT130;.;.;2;33;469;2002
AT1;AT13;AT130;.;.;2;34;398;2002
AT1;AT13;AT130;.;.;2;35;352;2002
AT1;AT13;AT130;.;.;2;36;303;2002
AT1;AT13;AT130;.;.;2;37;238;2002
AT1;AT13;AT130;.;.;2;38;177;2002
AT1;AT13;AT130;.;.;2;39;142;2002
AT1;AT13;AT130;.;.;2;40;93;2002
AT1;AT13;AT130;.;.;2;41;62;2002
AT1;AT13;AT130;.;.;2;42;40;2002
AT1;AT13;AT130;.;.;2;43;26;2002
AT1;AT13;AT130;.;.;2;44;7;2002
AT1;AT13;AT130;.;.;2;45;10;2002
AT1;AT13;AT130;.;.;2;46;2;2002
AT1;AT13;AT130;.;.;2;47;2;2002
AT1;AT13;AT130;.;.;1;14;1;2002
AT1;AT13;AT130;.;.;1;15;12;2002
AT1;AT13;AT130;.;.;1;16;43;2002
AT1;AT13;AT130;.;.;1;17;62;2002
AT1;AT13;AT130;.;.;1;18;115;2002
AT1;AT13;AT130;.;.;1;19;199;2002
AT1;AT13;AT130;.;.;1;20;219;2002
AT1;AT13;AT130;.;.;1;21;267;2002
AT1;AT13;AT130;.;.;1;22;309;2002
AT1;AT13;AT130;.;.;1;23;350;2002
AT1;AT13;AT130;.;.;1;24;393;2002
AT1;AT13;AT130;.;.;1;25;450;2002
AT1;AT13;AT130;.;.;1;26;408;2002
AT1;AT13;AT130;.;.;1;27;468;2002
AT1;AT13;AT130;.;.;1;28;498;2002
AT1;AT13;AT130;.;.;1;29;525;2002
AT1;AT13;AT130;.;.;1;30;548;2002
AT1;AT13;AT130;.;.;1;31;526;2002
AT1;AT13;AT130;.;.;1;32;522;2002
AT1;AT13;AT130;.;.;1;33;503;2002
AT1;AT13;AT130;.;.;1;34;440;2002
AT1;AT13;AT130;.;.;1;35;356;2002
AT1;AT13;AT130;.;.;1;36;272;2002
AT1;AT13;AT130;.;.;1;37;228;2002
AT1;AT13;AT130;.;.;1;38;204;2002
AT1;AT13;AT130;.;.;1;39;134;2002
AT1;AT13;AT130;.;.;1;40;108;2002
AT1;AT13;AT130;.;.;1;41;62;2002
AT1;AT13;AT130;.;.;1;42;41;2002
AT1;AT13;AT130;.;.;1;43;20;2002
AT1;AT13;AT130;.;.;1;44;14;2002
AT1;AT13;AT130;.;.;1;45;4;2002
AT1;AT13;AT130;.;.;1;46;5;2002
AT1;AT13;AT130;.;.;1;47;3;2002
AT1;AT13;AT130;.;.;1;48;1;2002
AT1;AT13;AT130;.;.;1;52;1;2002
AT1;AT13;AT130;.;.;2;14;3;2003
AT1;AT13;AT130;.;.;2;15;8;2003
AT1;AT13;AT130;.;.;2;16;42;2003
AT1;AT13;AT130;.;.;2;17;56;2003
AT1;AT13;AT130;.;.;2;18;104;2003
AT1;AT13;AT130;.;.;2;19;189;2003
AT1;AT13;AT130;.;.;2;20;234;2003
AT1;AT13;AT130;.;.;2;21;285;2003
AT1;AT13;AT130;.;.;2;22;312;2003
AT1;AT13;AT130;.;.;2;23;312;2003
AT1;AT13;AT130;.;.;2;24;374;2003
AT1;AT13;AT130;.;.;2;25;390;2003
AT1;AT13;AT130;.;.;2;26;435;2003
AT1;AT13;AT130;.;.;2;27;429;2003
AT1;AT13;AT130;.;.;2;28;486;2003
AT1;AT13;AT130;.;.;2;29;471;2003
AT1;AT13;AT130;.;.;2;30;511;2003
AT1;AT13;AT130;.;.;2;31;489;2003
AT1;AT13;AT130;.;.;2;32;444;2003
AT1;AT13;AT130;.;.;2;33;430;2003
AT1;AT13;AT130;.;.;2;34;380;2003
AT1;AT13;AT130;.;.;2;35;388;2003
AT1;AT13;AT130;.;.;2;36;291;2003
AT1;AT13;AT130;.;.;2;37;248;2003
AT1;AT13;AT130;.;.;2;38;164;2003
AT1;AT13;AT130;.;.;2;39;136;2003
AT1;AT13;AT130;.;.;2;40;113;2003
AT1;AT13;AT130;.;.;2;41;72;2003
AT1;AT13;AT130;.;.;2;42;39;2003
AT1;AT13;AT130;.;.;2;43;21;2003
AT1;AT13;AT130;.;.;2;44;13;2003
AT1;AT13;AT130;.;.;2;45;5;2003
AT1;AT13;AT130;.;.;2;46;2;2003
AT1;AT13;AT130;.;.;2;49;1;2003
AT1;AT13;AT130;.;.;1;13;3;2003
AT1;AT13;AT130;.;.;1;14;3;2003
AT1;AT13;AT130;.;.;1;15;13;2003
AT1;AT13;AT130;.;.;1;16;34;2003
AT1;AT13;AT130;.;.;1;17;72;2003
AT1;AT13;AT130;.;.;1;18;125;2003
AT1;AT13;AT130;.;.;1;19;154;2003
AT1;AT13;AT130;.;.;1;20;230;2003
AT1;AT13;AT130;.;.;1;21;295;2003
AT1;AT13;AT130;.;.;1;22;339;2003
AT1;AT13;AT130;.;.;1;23;349;2003
AT1;AT13;AT130;.;.;1;24;365;2003
AT1;AT13;AT130;.;.;1;25;406;2003
AT1;AT13;AT130;.;.;1;26;469;2003
AT1;AT13;AT130;.;.;1;27;471;2003
AT1;AT13;AT130;.;.;1;28;539;2003
AT1;AT13;AT130;.;.;1;29;542;2003
AT1;AT13;AT130;.;.;1;30;546;2003
AT1;AT13;AT130;.;.;1;31;534;2003
AT1;AT13;AT130;.;.;1;32;536;2003
AT1;AT13;AT130;.;.;1;33;474;2003
AT1;AT13;AT130;.;.;1;34;424;2003
AT1;AT13;AT130;.;.;1;35;393;2003
AT1;AT13;AT130;.;.;1;36;356;2003
AT1;AT13;AT130;.;.;1;37;282;2003
AT1;AT13;AT130;.;.;1;38;214;2003
AT1;AT13;AT130;.;.;1;39;158;2003
AT1;AT13;AT130;.;.;1;40;120;2003
AT1;AT13;AT130;.;.;1;41;67;2003
AT1;AT13;AT130;.;.;1;42;44;2003
AT1;AT13;AT130;.;.;1;43;30;2003
AT1;AT13;AT130;.;.;1;44;10;2003
AT1;AT13;AT130;.;.;1;45;9;2003
AT1;AT13;AT130;.;.;1;46;1;2003
AT1;AT13;AT130;.;.;1;48;1;2003
AT1;AT13;AT130;.;.;1;49;1;2003
AT1;AT13;AT130;.;.;2;14;3;2004
AT1;AT13;AT130;.;.;2;15;15;2004
AT1;AT13;AT130;.;.;2;16;37;2004
AT1;AT13;AT130;.;.;2;17;70;2004
AT1;AT13;AT130;.;.;2;18;116;2004
AT1;AT13;AT130;.;.;2;19;197;2004
AT1;AT13;AT130;.;.;2;20;227;2004
AT1;AT13;AT130;.;.;2;21;280;2004
AT1;AT13;AT130;.;.;2;22;314;2004
AT1;AT13;AT130;.;.;2;23;339;2004
AT1;AT13;AT130;.;.;2;24;374;2004
AT1;AT13;AT130;.;.;2;25;401;2004
AT1;AT13;AT130;.;.;2;26;433;2004
AT1;AT13;AT130;.;.;2;27;440;2004
AT1;AT13;AT130;.;.;2;28;473;2004
AT1;AT13;AT130;.;.;2;29;486;2004
AT1;AT13;AT130;.;.;2;30;503;2004
AT1;AT13;AT130;.;.;2;31;510;2004
AT1;AT13;AT130;.;.;2;32;494;2004
AT1;AT13;AT130;.;.;2;33;438;2004
AT1;AT13;AT130;.;.;2;34;419;2004
AT1;AT13;AT130;.;.;2;35;372;2004
AT1;AT13;AT130;.;.;2;36;302;2004
AT1;AT13;AT130;.;.;2;37;234;2004
AT1;AT13;AT130;.;.;2;38;196;2004
AT1;AT13;AT130;.;.;2;39;177;2004
AT1;AT13;AT130;.;.;2;40;104;2004
AT1;AT13;AT130;.;.;2;41;63;2004
AT1;AT13;AT130;.;.;2;42;47;2004
AT1;AT13;AT130;.;.;2;43;20;2004
AT1;AT13;AT130;.;.;2;44;14;2004
AT1;AT13;AT130;.;.;2;45;7;2004
AT1;AT13;AT130;.;.;2;46;6;2004
AT1;AT13;AT130;.;.;2;47;1;2004
AT1;AT13;AT130;.;.;2;48;1;2004
AT1;AT13;AT130;.;.;2;49;1;2004
AT1;AT13;AT130;.;.;2;50;1;2004
AT1;AT13;AT130;.;.;2;54;1;2004
AT1;AT13;AT130;.;.;1;13;1;2004
AT1;AT13;AT130;.;.;1;14;4;2004
AT1;AT13;AT130;.;.;1;15;17;2004
AT1;AT13;AT130;.;.;1;16;32;2004
AT1;AT13;AT130;.;.;1;17;68;2004
AT1;AT13;AT130;.;.;1;18;131;2004
AT1;AT13;AT130;.;.;1;19;204;2004
AT1;AT13;AT130;.;.;1;20;260;2004
AT1;AT13;AT130;.;.;1;21;302;2004
AT1;AT13;AT130;.;.;1;22;359;2004
AT1;AT13;AT130;.;.;1;23;378;2004
AT1;AT13;AT130;.;.;1;24;414;2004
AT1;AT13;AT130;.;.;1;25;438;2004
AT1;AT13;AT130;.;.;1;26;413;2004
AT1;AT13;AT130;.;.;1;27;504;2004
AT1;AT13;AT130;.;.;1;28;488;2004
AT1;AT13;AT130;.;.;1;29;516;2004
AT1;AT13;AT130;.;.;1;30;558;2004
AT1;AT13;AT130;.;.;1;31;562;2004
AT1;AT13;AT130;.;.;1;32;478;2004
AT1;AT13;AT130;.;.;1;33;484;2004
AT1;AT13;AT130;.;.;1;34;434;2004
AT1;AT13;AT130;.;.;1;35;427;2004
AT1;AT13;AT130;.;.;1;36;356;2004
AT1;AT13;AT130;.;.;1;37;274;2004
AT1;AT13;AT130;.;.;1;38;204;2004
AT1;AT13;AT130;.;.;1;39;161;2004
AT1;AT13;AT130;.;.;1;40;98;2004
AT1;AT13;AT130;.;.;1;41;72;2004
AT1;AT13;AT130;.;.;1;42;61;2004
AT1;AT13;AT130;.;.;1;43;20;2004
AT1;AT13;AT130;.;.;1;44;10;2004
AT1;AT13;AT130;.;.;1;45;5;2004
AT1;AT13;AT130;.;.;1;46;4;2004
AT1;AT13;AT130;.;.;1;47;2;2004
AT1;AT13;AT130;.;.;1;48;1;2004
AT1;AT13;AT130;.;.;2;14;1;2005
AT1;AT13;AT130;.;.;2;15;12;2005
AT1;AT13;AT130;.;.;2;16;28;2005
AT1;AT13;AT130;.;.;2;17;58;2005
AT1;AT13;AT130;.;.;2;18;130;2005
AT1;AT13;AT130;.;.;2;19;168;2005
AT1;AT13;AT130;.;.;2;20;234;2005
AT1;AT13;AT130;.;.;2;21;275;2005
AT1;AT13;AT130;.;.;2;22;281;2005
AT1;AT13;AT130;.;.;2;23;372;2005
AT1;AT13;AT130;.;.;2;24;426;2005
AT1;AT13;AT130;.;.;2;25;440;2005
AT1;AT13;AT130;.;.;2;26;441;2005
AT1;AT13;AT130;.;.;2;27;424;2005
AT1;AT13;AT130;.;.;2;28;440;2005
AT1;AT13;AT130;.;.;2;29;484;2005
AT1;AT13;AT130;.;.;2;30;524;2005
AT1;AT13;AT130;.;.;2;31;521;2005
AT1;AT13;AT130;.;.;2;32;452;2005
AT1;AT13;AT130;.;.;2;33;427;2005
AT1;AT13;AT130;.;.;2;34;419;2005
AT1;AT13;AT130;.;.;2;35;363;2005
AT1;AT13;AT130;.;.;2;36;349;2005
AT1;AT13;AT130;.;.;2;37;256;2005
AT1;AT13;AT130;.;.;2;38;212;2005
AT1;AT13;AT130;.;.;2;39;152;2005
AT1;AT13;AT130;.;.;2;40;120;2005
AT1;AT13;AT130;.;.;2;41;79;2005
AT1;AT13;AT130;.;.;2;42;56;2005
AT1;AT13;AT130;.;.;2;43;23;2005
AT1;AT13;AT130;.;.;2;44;13;2005
AT1;AT13;AT130;.;.;2;45;6;2005
AT1;AT13;AT130;.;.;2;46;4;2005
AT1;AT13;AT130;.;.;2;47;2;2005
AT1;AT13;AT130;.;.;1;15;8;2005
AT1;AT13;AT130;.;.;1;16;34;2005
AT1;AT13;AT130;.;.;1;17;72;2005
AT1;AT13;AT130;.;.;1;18;137;2005
AT1;AT13;AT130;.;.;1;19;181;2005
AT1;AT13;AT130;.;.;1;20;217;2005
AT1;AT13;AT130;.;.;1;21;326;2005
AT1;AT13;AT130;.;.;1;22;303;2005
AT1;AT13;AT130;.;.;1;23;377;2005
AT1;AT13;AT130;.;.;1;24;401;2005
AT1;AT13;AT130;.;.;1;25;441;2005
AT1;AT13;AT130;.;.;1;26;468;2005
AT1;AT13;AT130;.;.;1;27;451;2005
AT1;AT13;AT130;.;.;1;28;437;2005
AT1;AT13;AT130;.;.;1;29;517;2005
AT1;AT13;AT130;.;.;1;30;519;2005
AT1;AT13;AT130;.;.;1;31;499;2005
AT1;AT13;AT130;.;.;1;32;512;2005
AT1;AT13;AT130;.;.;1;33;504;2005
AT1;AT13;AT130;.;.;1;34;460;2005
AT1;AT13;AT130;.;.;1;35;388;2005
AT1;AT13;AT130;.;.;1;36;347;2005
AT1;AT13;AT130;.;.;1;37;269;2005
AT1;AT13;AT130;.;.;1;38;211;2005
AT1;AT13;AT130;.;.;1;39;168;2005
AT1;AT13;AT130;.;.;1;40;127;2005
AT1;AT13;AT130;.;.;1;41;71;2005
AT1;AT13;AT130;.;.;1;42;50;2005
AT1;AT13;AT130;.;.;1;43;30;2005
AT1;AT13;AT130;.;.;1;44;10;2005
AT1;AT13;AT130;.;.;1;45;9;2005
AT1;AT13;AT130;.;.;1;46;2;2005
AT1;AT13;AT130;.;.;1;50;1;2005
AT1;AT13;AT130;.;.;1;52;1;2005
AT1;AT13;AT130;.;.;2;14;2;2006
AT1;AT13;AT130;.;.;2;15;13;2006
AT1;AT13;AT130;.;.;2;16;27;2006
AT1;AT13;AT130;.;.;2;17;55;2006
AT1;AT13;AT130;.;.;2;18;101;2006
AT1;AT13;AT130;.;.;2;19;185;2006
AT1;AT13;AT130;.;.;2;20;223;2006
AT1;AT13;AT130;.;.;2;21;297;2006
AT1;AT13;AT130;.;.;2;22;302;2006
AT1;AT13;AT130;.;.;2;23;323;2006
AT1;AT13;AT130;.;.;2;24;375;2006
AT1;AT13;AT130;.;.;2;25;409;2006
AT1;AT13;AT130;.;.;2;26;421;2006
AT1;AT13;AT130;.;.;2;27;489;2006
AT1;AT13;AT130;.;.;2;28;488;2006
AT1;AT13;AT130;.;.;2;29;496;2006
AT1;AT13;AT130;.;.;2;30;517;2006
AT1;AT13;AT130;.;.;2;31;511;2006
AT1;AT13;AT130;.;.;2;32;540;2006
AT1;AT13;AT130;.;.;2;33;485;2006
AT1;AT13;AT130;.;.;2;34;424;2006
AT1;AT13;AT130;.;.;2;35;391;2006
AT1;AT13;AT130;.;.;2;36;303;2006
AT1;AT13;AT130;.;.;2;37;264;2006
AT1;AT13;AT130;.;.;2;38;240;2006
AT1;AT13;AT130;.;.;2;39;185;2006
AT1;AT13;AT130;.;.;2;40;119;2006
AT1;AT13;AT130;.;.;2;41;98;2006
AT1;AT13;AT130;.;.;2;42;52;2006
AT1;AT13;AT130;.;.;2;43;27;2006
AT1;AT13;AT130;.;.;2;44;17;2006
AT1;AT13;AT130;.;.;2;45;10;2006
AT1;AT13;AT130;.;.;2;46;4;2006
AT1;AT13;AT130;.;.;2;47;2;2006
AT1;AT13;AT130;.;.;2;48;1;2006
AT1;AT13;AT130;.;.;1;13;2;2006
AT1;AT13;AT130;.;.;1;14;5;2006
AT1;AT13;AT130;.;.;1;15;9;2006
AT1;AT13;AT130;.;.;1;16;27;2006
AT1;AT13;AT130;.;.;1;17;64;2006
AT1;AT13;AT130;.;.;1;18;113;2006
AT1;AT13;AT130;.;.;1;19;197;2006
AT1;AT13;AT130;.;.;1;20;265;2006
AT1;AT13;AT130;.;.;1;21;270;2006
AT1;AT13;AT130;.;.;1;22;308;2006
AT1;AT13;AT130;.;.;1;23;366;2006
AT1;AT13;AT130;.;.;1;24;416;2006
AT1;AT13;AT130;.;.;1;25;423;2006
AT1;AT13;AT130;.;.;1;26;404;2006
AT1;AT13;AT130;.;.;1;27;470;2006
AT1;AT13;AT130;.;.;1;28;509;2006
AT1;AT13;AT130;.;.;1;29;508;2006
AT1;AT13;AT130;.;.;1;30;483;2006
AT1;AT13;AT130;.;.;1;31;549;2006
AT1;AT13;AT130;.;.;1;32;604;2006
AT1;AT13;AT130;.;.;1;33;499;2006
AT1;AT13;AT130;.;.;1;34;485;2006
AT1;AT13;AT130;.;.;1;35;402;2006
AT1;AT13;AT130;.;.;1;36;344;2006
AT1;AT13;AT130;.;.;1;37;306;2006
AT1;AT13;AT130;.;.;1;38;223;2006
AT1;AT13;AT130;.;.;1;39;141;2006
AT1;AT13;AT130;.;.;1;40;129;2006
AT1;AT13;AT130;.;.;1;41;84;2006
AT1;AT13;AT130;.;.;1;42;53;2006
AT1;AT13;AT130;.;.;1;43;36;2006
AT1;AT13;AT130;.;.;1;44;12;2006
AT1;AT13;AT130;.;.;1;45;6;2006
AT1;AT13;AT130;.;.;1;46;2;2006
AT1;AT13;AT130;.;.;1;47;1;2006
AT1;AT13;AT130;.;.;1;50;1;2006
AT1;AT13;AT130;.;.;2;15;11;2007
AT1;AT13;AT130;.;.;2;16;25;2007
AT1;AT13;AT130;.;.;2;17;51;2007
AT1;AT13;AT130;.;.;2;18;87;2007
AT1;AT13;AT130;.;.;2;19;165;2007
AT1;AT13;AT130;.;.;2;20;233;2007
AT1;AT13;AT130;.;.;2;21;255;2007
AT1;AT13;AT130;.;.;2;22;299;2007
AT1;AT13;AT130;.;.;2;23;342;2007
AT1;AT13;AT130;.;.;2;24;351;2007
AT1;AT13;AT130;.;.;2;25;432;2007
AT1;AT13;AT130;.;.;2;26;449;2007
AT1;AT13;AT130;.;.;2;27;446;2007
AT1;AT13;AT130;.;.;2;28;485;2007
AT1;AT13;AT130;.;.;2;29;469;2007
AT1;AT13;AT130;.;.;2;30;491;2007
AT1;AT13;AT130;.;.;2;31;486;2007
AT1;AT13;AT130;.;.;2;32;464;2007
AT1;AT13;AT130;.;.;2;33;475;2007
AT1;AT13;AT130;.;.;2;34;448;2007
AT1;AT13;AT130;.;.;2;35;421;2007
AT1;AT13;AT130;.;.;2;36;353;2007
AT1;AT13;AT130;.;.;2;37;309;2007
AT1;AT13;AT130;.;.;2;38;210;2007
AT1;AT13;AT130;.;.;2;39;169;2007
AT1;AT13;AT130;.;.;2;40;136;2007
AT1;AT13;AT130;.;.;2;41;88;2007
AT1;AT13;AT130;.;.;2;42;57;2007
AT1;AT13;AT130;.;.;2;43;30;2007
AT1;AT13;AT130;.;.;2;44;17;2007
AT1;AT13;AT130;.;.;2;45;8;2007
AT1;AT13;AT130;.;.;2;46;5;2007
AT1;AT13;AT130;.;.;2;47;2;2007
AT1;AT13;AT130;.;.;2;52;2;2007
